ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,94.0767,94.0767,0.0000
9,40,0.650,0.010,0.030,0.35,89.5470,90.5923,1.0453
9,40,0.650,0.010,0.040,0.35,90.9408,93.0314,2.0906
9,40,0.650,0.010,0.050,0.35,91.2892,94.0767,2.7875
9,40,0.650,0.010,0.060,0.35,97.2125,97.2125,0.0000
9,40,0.650,0.010,0.070,0.35,94.4251,95.4704,1.0453
9,40,0.650,0.010,0.080,0.35,89.5470,91.9861,2.4390
9,40,0.650,0.010,0.090,0.35,87.1080,88.8502,1.7422
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,94.0767,94.0767,0.0000
9,40,0.650,0.010,0.030,0.35,91.9861,93.7282,1.7422
9,40,0.650,0.010,0.040,0.35,93.7282,94.0767,0.3484
9,40,0.650,0.010,0.050,0.35,95.8188,96.1672,0.3484
9,40,0.650,0.010,0.060,0.35,96.5157,97.2125,0.6969
9,40,0.650,0.010,0.070,0.35,92.3345,92.3345,0.0000
9,40,0.650,0.010,0.080,0.35,90.2439,90.9408,0.6969
9,40,0.650,0.010,0.090,0.35,91.2892,92.3345,1.0453
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,93.0314,93.0314,0.0000
9,40,0.650,0.010,0.030,0.35,96.8641,97.5610,0.6969
9,40,0.650,0.010,0.040,0.35,96.5157,96.8641,0.3484
9,40,0.650,0.010,0.050,0.35,93.0314,95.1220,2.0906
9,40,0.650,0.010,0.060,0.35,93.3798,94.4251,1.0453
9,40,0.650,0.010,0.070,0.35,93.3798,95.1220,1.7422
9,40,0.650,0.010,0.080,0.35,94.7735,95.8188,1.0453
9,40,0.650,0.010,0.090,0.35,94.4251,97.2125,2.7875
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,96.5157,96.5157,0.0000
9,40,0.650,0.010,0.030,0.35,90.2439,90.5923,0.3484
9,40,0.650,0.010,0.040,0.35,95.1220,95.4704,0.3484
9,40,0.650,0.010,0.050,0.35,88.8502,89.8955,1.0453
9,40,0.650,0.010,0.060,0.35,90.9408,91.2892,0.3484
9,40,0.650,0.010,0.070,0.35,90.5923,90.5923,0.0000
9,40,0.650,0.010,0.080,0.35,89.8955,90.2439,0.3484
9,40,0.650,0.010,0.090,0.35,89.8955,89.8955,0.0000
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,94.0767,94.0767,0.0000
9,40,0.650,0.010,0.030,0.35,91.9861,91.9861,0.0000
9,40,0.650,0.010,0.040,0.35,88.1533,88.1533,0.0000
9,40,0.650,0.010,0.050,0.35,95.1220,95.4704,0.3484
9,40,0.650,0.010,0.060,0.35,88.8502,89.1986,0.3484
9,40,0.650,0.010,0.070,0.35,91.2892,92.6829,1.3937
9,40,0.650,0.010,0.080,0.35,86.7596,90.5923,3.8328
9,40,0.650,0.010,0.090,0.35,94.7735,95.1220,0.3484
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,87.4564,89.8955,2.4390
9,40,0.650,0.010,0.030,0.35,95.1220,95.4704,0.3484
9,40,0.650,0.010,0.040,0.35,94.0767,94.0767,0.0000
9,40,0.650,0.010,0.050,0.35,88.1533,88.1533,0.0000
9,40,0.650,0.010,0.060,0.35,92.6829,94.7735,2.0906
9,40,0.650,0.010,0.070,0.35,92.6829,93.7282,1.0453
9,40,0.650,0.010,0.080,0.35,86.7596,88.8502,2.0906
9,40,0.650,0.010,0.090,0.35,90.5923,91.9861,1.3937
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,95.4704,95.8188,0.3484
9,40,0.650,0.010,0.030,0.35,94.4251,95.1220,0.6969
9,40,0.650,0.010,0.040,0.35,90.2439,90.9408,0.6969
9,40,0.650,0.010,0.050,0.35,95.8188,96.1672,0.3484
9,40,0.650,0.010,0.060,0.35,96.8641,96.8641,0.0000
9,40,0.650,0.010,0.070,0.35,91.2892,91.6376,0.3484
9,40,0.650,0.010,0.080,0.35,93.0314,95.4704,2.4390
9,40,0.650,0.010,0.090,0.35,92.3345,93.7282,1.3937
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,87.4564,87.4564,0.0000
9,40,0.650,0.010,0.030,0.35,96.8641,97.2125,0.3484
9,40,0.650,0.010,0.040,0.35,93.3798,93.7282,0.3484
9,40,0.650,0.010,0.050,0.35,89.8955,91.6376,1.7422
9,40,0.650,0.010,0.060,0.35,87.8049,90.2439,2.4390
9,40,0.650,0.010,0.070,0.35,89.8955,89.8955,0.0000
9,40,0.650,0.010,0.080,0.35,87.4564,88.1533,0.6969
9,40,0.650,0.010,0.090,0.35,84.6690,86.7596,2.0906
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,96.1672,96.1672,0.0000
9,40,0.650,0.010,0.030,0.35,97.9094,97.9094,0.0000
9,40,0.650,0.010,0.040,0.35,90.9408,90.9408,0.0000
9,40,0.650,0.010,0.050,0.35,91.2892,91.6376,0.3484
9,40,0.650,0.010,0.060,0.35,89.8955,91.2892,1.3937
9,40,0.650,0.010,0.070,0.35,90.5923,90.5923,0.0000
9,40,0.650,0.010,0.080,0.35,90.5923,92.6829,2.0906
9,40,0.650,0.010,0.090,0.35,90.2439,90.5923,0.3484
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,96.1672,96.5157,0.3484
9,40,0.650,0.010,0.030,0.35,92.3345,92.3345,0.0000
9,40,0.650,0.010,0.040,0.35,93.3798,95.1220,1.7422
9,40,0.650,0.010,0.050,0.35,90.9408,91.9861,1.0453
9,40,0.650,0.010,0.060,0.35,94.7735,95.1220,0.3484
9,40,0.650,0.010,0.070,0.35,93.0314,93.0314,0.0000
9,40,0.650,0.010,0.080,0.35,91.2892,92.6829,1.3937
9,40,0.650,0.010,0.090,0.35,91.6376,92.3345,0.6969
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,92.3345,93.0314,0.6969
9,40,0.650,0.010,0.030,0.35,95.8188,95.8188,0.0000
9,40,0.650,0.010,0.040,0.35,92.6829,93.7282,1.0453
9,40,0.650,0.010,0.050,0.35,93.3798,95.1220,1.7422
9,40,0.650,0.010,0.060,0.35,94.0767,96.5157,2.4390
9,40,0.650,0.010,0.070,0.35,95.4704,95.4704,0.0000
9,40,0.650,0.010,0.080,0.35,87.1080,89.1986,2.0906
9,40,0.650,0.010,0.090,0.35,89.5470,91.2892,1.7422
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,94.4251,94.4251,0.0000
9,40,0.650,0.010,0.030,0.35,89.5470,89.5470,0.0000
9,40,0.650,0.010,0.040,0.35,95.4704,95.4704,0.0000
9,40,0.650,0.010,0.050,0.35,96.1672,96.5157,0.3484
9,40,0.650,0.010,0.060,0.35,94.0767,94.0767,0.0000
9,40,0.650,0.010,0.070,0.35,92.3345,93.3798,1.0453
9,40,0.650,0.010,0.080,0.35,92.3345,93.7282,1.3937
9,40,0.650,0.010,0.090,0.35,90.2439,92.3345,2.0906
-------------------------------------------
ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
9,40,0.650,0.010,0.020,0.35,88.1533,89.5470,1.3937
9,40,0.650,0.010,0.030,0.35,90.9408,91.6376,0.6969
9,40,0.650,0.010,0.040,0.35,90.9408,90.9408,0.0000
9,40,0.650,0.010,0.050,0.35,89.5470,90.9408,1.3937
